dt,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,n_N2O_ppb,n_d15Nbulk_permil,n_SP_permil,n_d18O_permil
1996.0,312.29568487026046,7.591235494547258,17.745754877015823,44.478045112781956,0.7033193900143692,0.10643344772533106,1.7655738950337263,0.24126689008347443,42.0,17.0,17.0,17.0
1998.0,314.0036828127358,7.551216794006636,19.219539839521918,44.52391364205257,0.6792950563219469,0.17652472121837204,0.8357156699414412,0.14987406495391178,33.0,9.0,9.0,9.0
2000.0,315.76623878457787,7.464859000115555,18.39653162212265,44.412008438818575,0.6763396113738039,0.08567934516744652,1.6582854858521727,0.3873068539090215,31.0,7.0,7.0,7.0
2002.0,317.0282667825331,7.427806345187391,15.93133825852504,44.589999999999996,0.5788194992270324,0.16062378404209002,1.5814266806739459,0.22375581929117705,28.0,4.0,4.0,4.0
2004.0,317.78787267396405,7.430779123185427,18.77781605758442,44.19983841807908,0.7963327643893832,0.14164098252984952,1.3347515377732546,0.23212490767114904,345.0,6.0,6.0,6.0
2006.0,321.543773546876,7.489521739130433,18.017271317829454,44.742000000000004,0.1769221182662489,0.3309702297876217,0.27744672655585184,0.17319461596712526,555.0,4.0,4.0,4.0
2008.0,324.6852536109666,7.292898089171976,18.193,44.58263180827887,2.3584560951656868,0.1418599463952147,0.0,0.10313724569769932,725.0,2.0,2.0,2.0
2010.0,324.39259963627535,7.08791923076923,17.835480916030534,44.4126866197183,0.742270345136721,0.0661498096934919,0.15036390215379694,0.08425608828160444,747.0,3.0,3.0,3.0
2012.0,326.37769890571656,7.12083850931677,18.099,44.54019205298013,0.7498299427151564,0.026680977153718675,0.0,0.056280131324277984,713.0,2.0,2.0,2.0
2014.0,328.3652482523395,6.836348641449122,17.856378525995577,44.368517283538964,0.5438201434503016,0.26555690986230873,0.598206452606341,0.188694017705139,446.0,95.0,95.0,95.0
2016.0,329.4525708824996,6.820408532842235,17.826483143282097,44.47016274454211,1.0049192143611119,0.24309443306961465,0.4488414733055351,0.18487858419628678,58.0,34.0,34.0,34.0
2018.0,331.2290312455817,6.6371474793077505,17.810828837209304,44.38487839305103,0.6053153535444479,0.1696171830449088,0.1864885486171061,0.22336933213367738,35.0,26.0,26.0,26.0
2020.0,,,,,,,,,,,,
